iter	RMSE
0	0.4532607662
1	0.4372125487
2	0.4222062894
3	0.4138671251
4	0.4066341601
5	0.4023845583
6	0.3982721304
7	0.3931045021
8	0.3889795274
9	0.385826342
10	0.3818405902
11	0.380286918
12	0.3787748476
13	0.3762940795
14	0.3747155187
15	0.373244896
16	0.3705128842
17	0.3695019707
18	0.3683598558
19	0.3673957305
20	0.3656092289
21	0.3649575133
22	0.3635601779
23	0.3615148046
24	0.3609384282
25	0.3596761531
26	0.3591602289
27	0.3584877628
28	0.3570463666
29	0.3564142163
30	0.3558144398
31	0.3548490752
32	0.3540716245
33	0.3527855179
34	0.3515298701
35	0.3504998829
36	0.3492968343
37	0.3487925643
38	0.3479131259
39	0.3475540049
40	0.3461840825
41	0.3449298055
42	0.3439782068
43	0.3426927841
44	0.3423984671
45	0.3421483222
46	0.3413971727
47	0.3403088853
48	0.3393115441
49	0.338286529
50	0.3372286895
51	0.3366593593
52	0.3359114269
53	0.3341434503
54	0.3337137606
55	0.3332781035
56	0.3316888273
57	0.3306547195
58	0.3304768374
59	0.3292608016
60	0.3279764423
61	0.3275422872
62	0.3258845214
63	0.3252296572
64	0.3241173895
65	0.3226893545
66	0.3220471696
67	0.3218815616
68	0.3214649739
69	0.3200272921
70	0.3198598434
71	0.3190368375
72	0.3179456775
73	0.3177846376
74	0.3169532169
75	0.3163713624
76	0.3158176074
77	0.3155428841
78	0.3140801306
79	0.3139831914
80	0.3133379328
81	0.3126103823
82	0.3114494415
83	0.311357422
84	0.3102888396
85	0.3099591804
86	0.3086997185
87	0.3081710501
88	0.3071236425
89	0.3062575649
90	0.3052121421
91	0.3044157263
92	0.3039300301
93	0.3035091476
94	0.3025705794
95	0.3021016024
96	0.3012905428
97	0.2998372957
98	0.2989641231
99	0.2985560478
100	0.2985040313
101	0.2979780668
102	0.2970470169
103	0.2969430733
104	0.2962749326
105	0.2955660923
106	0.2953312707
107	0.2952910679
108	0.2950529952
109	0.2942439067
110	0.2939315626
111	0.2930571211
112	0.2919305563
113	0.29109004
114	0.2903834576
115	0.2900205543
116	0.2899881016
117	0.28934612
118	0.2881617085
119	0.2877000877
120	0.2864419044
121	0.2855931147
122	0.2849408455
123	0.2841200116
124	0.2829890498
125	0.282923287
126	0.2826542934
127	0.2822997072
128	0.2815518021
129	0.2815147803
130	0.2811771554
131	0.2808239966
132	0.2802231617
133	0.2794526877
134	0.2788369367
135	0.2783812695
136	0.277895699
137	0.2769226617
138	0.2765785578
139	0.2764171968
140	0.2758204383
141	0.2753293307
142	0.274915103
143	0.2739755308
144	0.273685086
145	0.2730099956
146	0.2720153359
147	0.2714321796
148	0.270951474
149	0.270100951
150	0.2697058677
151	0.2694354279
152	0.2692176164
153	0.268989088
154	0.2682702126
155	0.2674333211
156	0.2673392888
157	0.2666760424
158	0.266157524
159	0.2656363326
160	0.2648449717
161	0.2638564232
162	0.2638021651
163	0.2629973048
164	0.2619957837
165	0.2618962533
166	0.2609608801
167	0.2603456909
168	0.2596945827
169	0.2589782033
170	0.2586819445
171	0.2580561342
172	0.2576601306
173	0.2571673715
174	0.2565839112
175	0.2561971224
176	0.2558118409
177	0.2554557054
178	0.255039473
179	0.2547032832
180	0.2546343889
181	0.2545845617
182	0.2535959148
183	0.2527592494
184	0.2522893756
185	0.2519134432
186	0.2515123063
187	0.2509091252
188	0.2506359404
189	0.2500142969
190	0.249479481
191	0.2494312415
192	0.2490124392
193	0.2487027588
194	0.248521601
195	0.2484754863
196	0.2472839289
197	0.2472489306
198	0.246927203
199	0.246579314
200	0.2458357575
201	0.245185829
202	0.2448674541
203	0.2442833892
204	0.2431841031
205	0.242527172
206	0.2420780839
207	0.2420244332
208	0.241662249
209	0.2409969841
210	0.2403704164
211	0.2403220033
212	0.2400808935
213	0.2395305352
214	0.2392499919
215	0.2388952104
216	0.2386624272
217	0.2384806098
218	0.2377985996
219	0.2368205967
220	0.2361522462
221	0.2356253131
222	0.2350087947
223	0.2346467328
224	0.2343152775
225	0.2339611598
226	0.2336203471
227	0.2332006415
228	0.2327428852
229	0.2322585449
230	0.2318885891
231	0.2318745364
232	0.2317609824
233	0.2316008038
234	0.231484765
235	0.2314203025
236	0.2311258168
237	0.231063442
238	0.2307586074
239	0.230651095
240	0.2302083721
241	0.2301630603
242	0.229882621
243	0.2296017203
244	0.2290795974
245	0.2286403991
246	0.2284183388
247	0.228230475
248	0.2280901193
249	0.2276613669
