iter	Passed	Remaining
0	0	130
1	1	133
2	1	142
3	2	140
4	3	147
5	3	140
6	3	135
7	4	133
8	4	132
9	5	128
10	5	125
11	6	121
12	6	119
13	6	117
14	7	115
15	7	114
16	8	112
17	8	112
18	9	112
19	9	112
20	10	112
21	10	111
22	11	109
23	11	108
24	11	107
25	12	107
26	12	105
27	13	105
28	13	103
29	14	102
30	14	101
31	14	101
32	15	100
33	15	99
34	16	99
35	16	99
36	17	98
37	17	97
38	17	97
39	18	96
40	18	95
41	19	95
42	19	94
43	20	93
44	20	93
45	20	92
46	21	91
47	21	90
48	21	90
49	22	89
50	22	89
51	23	89
52	23	88
53	24	88
54	24	87
55	25	87
56	25	86
57	26	86
58	26	85
59	26	85
60	27	85
61	27	84
62	28	84
63	28	83
64	29	83
65	30	83
66	30	83
67	30	82
68	31	82
69	31	81
70	32	81
71	32	80
72	33	80
73	33	80
74	34	79
75	34	79
76	35	78
77	35	78
78	35	77
79	36	77
80	36	76
81	37	76
82	37	76
83	38	75
84	38	75
85	39	75
86	40	75
87	40	74
88	41	74
89	41	73
90	41	73
91	42	73
92	43	72
93	43	72
94	44	71
95	44	71
96	44	70
97	45	70
98	45	69
99	46	69
100	46	68
101	46	68
102	47	67
103	47	67
104	48	66
105	48	66
106	49	65
107	49	65
108	50	65
109	50	64
110	51	64
111	51	63
112	52	63
113	52	62
114	52	62
115	53	61
116	53	61
117	54	60
118	54	59
119	54	59
120	55	58
121	55	58
122	56	58
123	56	57
124	57	57
125	57	56
126	58	56
127	58	56
128	59	55
129	59	54
130	60	54
131	60	54
132	60	53
133	61	53
134	61	52
135	62	52
136	62	51
137	63	51
138	63	50
139	64	50
140	64	50
141	65	49
142	65	49
143	66	48
144	66	48
145	66	47
146	67	47
147	67	46
148	68	46
149	68	45
150	69	45
151	69	44
152	70	44
153	70	44
154	71	43
155	71	43
156	72	42
157	72	42
158	73	41
159	73	41
160	74	40
161	74	40
162	74	39
163	75	39
164	75	38
165	76	38
166	76	38
167	76	37
168	77	37
169	78	36
170	78	36
171	78	35
172	79	35
173	79	34
174	80	34
175	80	33
176	80	33
177	81	32
178	81	32
179	82	31
180	82	31
181	82	30
182	83	30
183	83	30
184	84	29
185	84	29
186	85	28
187	85	28
188	86	27
189	86	27
190	86	26
191	87	26
192	87	25
193	88	25
194	88	25
195	89	24
196	89	24
197	89	23
198	90	23
199	91	22
200	91	22
201	92	21
202	92	21
203	92	20
204	93	20
205	93	20
206	94	19
207	94	19
208	95	18
209	95	18
210	95	17
211	96	17
212	96	16
213	97	16
214	98	15
215	98	15
216	98	15
217	99	14
218	99	14
219	100	13
220	100	13
221	101	12
222	101	12
223	102	11
224	102	11
225	103	10
226	103	10
227	104	10
228	104	9
229	105	9
230	105	8
231	106	8
232	106	7
233	106	7
234	107	6
235	107	6
236	108	5
237	108	5
238	108	5
239	109	4
240	109	4
241	110	3
242	110	3
243	111	2
244	111	2
245	112	1
246	112	1
247	113	0
248	113	0
249	114	0
