iter	Logloss
0	0.6664524544
1	0.630086779
2	0.6100046639
3	0.5906403282
4	0.5641449058
5	0.5528351823
6	0.5430197645
7	0.5274805228
8	0.5187190715
9	0.510869947
10	0.499924192
11	0.4943642547
12	0.4843749731
13	0.4692448251
14	0.4640746422
15	0.4590197739
16	0.4503376965
17	0.4434921797
18	0.4370408693
19	0.4333147988
20	0.4296232108
21	0.4263542425
22	0.4231884697
23	0.4169633911
24	0.4143011529
25	0.4116412626
26	0.4092237089
27	0.4000664722
28	0.3975957772
29	0.3931433183
30	0.3893669011
31	0.3859056116
32	0.3808302371
33	0.3788297693
34	0.3769861927
35	0.3753585779
36	0.3739020294
37	0.3726241212
38	0.3662059651
39	0.364897703
40	0.3637631875
41	0.3627099377
42	0.3615095343
43	0.3585997266
44	0.3524741324
45	0.3515153889
46	0.3486227042
47	0.34782422
48	0.3433582388
49	0.340936948
50	0.3400830121
51	0.3361910418
52	0.3352519456
53	0.3343096549
54	0.3320318417
55	0.330257909
56	0.3294085911
57	0.3287383731
58	0.3281216137
59	0.3243432249
60	0.3226523484
61	0.3220253667
62	0.3214603553
63	0.318836441
64	0.3183744483
65	0.3177932675
66	0.3172099152
67	0.316748679
68	0.315224089
69	0.3144314168
70	0.313307741
71	0.3128238722
72	0.3108166296
73	0.3082540721
74	0.3071137817
75	0.3041056557
76	0.3027767225
77	0.3016240915
78	0.3011120598
79	0.3007813426
80	0.3001643786
81	0.2988462652
82	0.2984505076
83	0.2979670083
84	0.2975191382
85	0.2963664095
86	0.2958650649
87	0.2953438201
88	0.294976129
89	0.2941837915
90	0.2938450293
91	0.29336149
92	0.2929379427
93	0.291838246
94	0.2911216214
95	0.2906928397
96	0.2902297064
97	0.2895000553
98	0.2891671328
99	0.2888844379
100	0.2884355821
101	0.2879825274
102	0.2874107693
103	0.2867666453
104	0.2862886661
105	0.285956586
106	0.2856530755
107	0.2853432579
108	0.2849519827
109	0.2845718417
110	0.2841694603
111	0.2836183212
112	0.2831667231
113	0.2828764338
114	0.2821191489
115	0.2818407511
116	0.2815672651
117	0.2811362098
118	0.280666373
119	0.2805313311
120	0.2801438295
121	0.2796297072
122	0.2793875236
123	0.2790882034
124	0.278869609
125	0.2784774247
126	0.2774405814
127	0.2762951241
128	0.2758364522
129	0.2757429904
130	0.275531832
131	0.2748532408
132	0.2744808674
133	0.2741116776
134	0.2734793692
135	0.2726948645
136	0.2722526184
137	0.2718934907
138	0.2716145121
139	0.2711387905
140	0.2705322684
141	0.2699784467
142	0.2693690919
143	0.269188175
144	0.2689602439
145	0.2687665156
146	0.2684686178
147	0.2682547065
148	0.2681029649
149	0.2678787441
150	0.2676719486
151	0.2672020498
152	0.2669504818
153	0.2667211418
154	0.2665040326
155	0.2663912723
156	0.2659852883
157	0.2657372917
158	0.2654949551
159	0.2653252418
160	0.2651518032
161	0.2649145408
162	0.2647872262
163	0.2646826911
164	0.2642763821
165	0.2639139497
166	0.2634680212
167	0.2633277701
168	0.2630765473
169	0.2629000254
170	0.2625676011
171	0.2624861808
172	0.2621549444
173	0.2619740105
174	0.2617648044
175	0.2615685973
176	0.2613244376
177	0.2611718307
178	0.2610304222
179	0.2608610383
180	0.260757638
181	0.260686908
182	0.2604858117
183	0.2602599826
184	0.2599507418
185	0.2596716243
186	0.2594851757
187	0.2594158916
188	0.2592508163
189	0.2590752155
190	0.2588385585
191	0.2586213057
192	0.2584150509
193	0.258255947
194	0.258087676
195	0.2579009458
196	0.2577104237
197	0.2573245133
198	0.2571279774
199	0.2569395682
200	0.256794615
201	0.2566819882
202	0.256599199
203	0.2562100448
204	0.2561435393
205	0.2559911411
206	0.2558101131
207	0.2554069932
208	0.254963958
209	0.2547367579
210	0.2544583858
211	0.2543294423
212	0.2542228791
213	0.2540843178
214	0.2536994552
215	0.2534436985
216	0.2532470716
217	0.2526829611
218	0.2525485783
219	0.2523775303
220	0.2522127501
221	0.2520894232
222	0.2519039697
223	0.2517442454
224	0.251582872
225	0.2514084561
226	0.2512988761
227	0.250967776
228	0.2507487774
229	0.2505954092
230	0.2503314694
231	0.2501221267
232	0.2499679952
233	0.2498680036
234	0.2490879396
235	0.2487371414
236	0.2486580962
237	0.2485758562
238	0.2482840155
239	0.2480290502
240	0.2478512273
241	0.2477113827
242	0.2475674628
243	0.2474702583
244	0.2473314941
245	0.2471629851
246	0.2470673485
247	0.2468309819
248	0.2467365748
249	0.2466314494
250	0.2464626266
251	0.2462675867
252	0.2461533339
253	0.2460786426
254	0.2457240835
255	0.2456414304
256	0.2454469121
257	0.2452762873
258	0.245096012
259	0.2446717991
260	0.2444862916
261	0.2441184866
262	0.2439368602
263	0.2437755584
264	0.2436254195
265	0.2435132735
266	0.243154633
267	0.2430019839
268	0.2428464607
269	0.2427940448
270	0.2425934622
271	0.2424488131
272	0.2423418309
273	0.2421981556
274	0.2421016496
275	0.2417945857
276	0.2416250619
277	0.2414601466
278	0.2413266656
279	0.2412360963
280	0.2410655951
281	0.2408225109
282	0.2406837761
283	0.2405835806
284	0.2403315977
285	0.2402081296
286	0.2399789267
287	0.2398370586
288	0.2396333222
289	0.2394692612
290	0.2392170306
291	0.2391212354
