iter	Passed	Remaining
0	3	1850
1	8	2052
2	12	2045
3	16	2036
4	22	2230
5	31	2598
6	39	2807
7	43	2659
8	46	2533
9	49	2419
10	52	2326
11	55	2244
12	58	2173
13	61	2122
14	64	2075
15	67	2030
16	70	1997
17	73	1971
18	76	1944
19	80	1920
20	82	1891
21	85	1868
22	88	1842
23	91	1818
24	95	1807
25	98	1794
26	101	1782
27	104	1767
28	107	1752
29	110	1738
30	113	1722
31	116	1710
32	120	1698
33	122	1684
34	126	1674
35	129	1662
36	131	1650
37	144	1758
38	147	1744
39	150	1732
40	153	1720
41	156	1709
42	159	1699
43	162	1688
44	166	1678
45	169	1668
46	172	1657
47	175	1651
48	178	1645
49	181	1636
50	184	1626
51	187	1616
52	190	1607
53	193	1598
54	196	1589
55	199	1583
56	202	1574
57	205	1567
58	208	1558
59	211	1551
60	214	1545
61	217	1537
62	220	1530
63	223	1525
64	226	1517
65	229	1512
66	232	1505
67	235	1498
68	238	1492
69	241	1485
70	244	1479
71	247	1472
72	250	1466
73	253	1461
74	256	1455
75	259	1449
76	262	1444
77	265	1437
78	268	1432
79	271	1427
80	274	1421
81	277	1416
82	281	1412
83	284	1407
84	287	1402
85	290	1396
86	293	1392
87	296	1388
88	299	1383
89	302	1378
90	305	1372
91	308	1367
92	311	1363
93	314	1358
94	317	1354
95	320	1349
96	323	1345
97	327	1341
98	330	1336
99	333	1332
100	335	1327
101	338	1322
102	341	1317
103	344	1312
104	347	1308
105	351	1305
106	354	1300
107	357	1296
108	360	1292
109	368	1304
110	371	1300
111	374	1297
112	378	1295
113	381	1292
114	385	1289
115	392	1299
116	395	1294
117	398	1290
118	401	1286
119	404	1282
120	417	1308
121	421	1304
122	424	1301
123	428	1298
124	431	1295
125	435	1291
126	438	1287
127	442	1284
128	445	1281
129	456	1300
130	460	1296
131	463	1292
132	467	1288
133	470	1283
134	473	1278
135	475	1273
136	479	1269
137	482	1265
138	485	1261
139	488	1256
140	491	1251
141	494	1247
142	497	1242
143	500	1237
144	503	1233
145	506	1228
146	509	1223
147	512	1219
148	515	1215
149	518	1210
150	522	1206
151	524	1201
152	527	1197
153	530	1192
154	552	1228
155	555	1225
156	558	1220
157	562	1216
158	565	1212
159	568	1207
160	571	1202
161	574	1197
162	577	1193
163	579	1188
164	583	1183
165	586	1179
166	589	1175
167	592	1170
168	595	1166
169	598	1161
170	601	1157
171	604	1153
172	607	1148
173	610	1144
174	613	1139
175	616	1135
176	619	1130
177	622	1126
178	625	1121
179	628	1117
180	631	1112
181	634	1108
182	637	1103
183	640	1099
184	643	1095
185	646	1091
186	649	1086
187	652	1082
188	655	1078
189	658	1074
190	661	1069
191	664	1065
